日期,楼盘,单价,底价,地区,户型,面积
20201002,首开&华侨城&金茂|东湖金茂府,26500,300万,洪山/青山,3/4,118-141
20201002,长江凯旋城,11300,122万,黄陂/武湖,3,108-124
20201002,美好长江首玺,13500,125万,洪山/白沙洲,3,97-123
20201002,海伦堡汉江府,8200,79万,东西湖/东西湖其它,3/4,96-130
20201002,兰亭大境,16250,171万,沌口开发区/沌口,3/4,105-143
20201002,越秀汉阳星汇云锦,25000,325万,汉阳/钟家村,3,125-142
20201002,新力金沙湾,9500,102万,新洲/阳逻,3,108-118
20201002,电建地产洺悦御府,13200,128万,东西湖/金银湖,3/4,97-143
20201002,碧桂园海昌克拉公馆,14000,65万,东西湖/将军路,1/3,47-82
20201002,观湖园二期,15500,186万,蔡甸/后官湖,4,117-142
20201002,光谷崇文中心,13000,65万,东湖高新/光谷东,1/2/3,50-101
20201002,万博玖珑湾,11000,109万,黄陂/盘龙城,3,121-130
20201002,F天下,30000,760万,黄陂/盘龙城,4/5,245-344
20201002,泛海国际兰海园三期碧海园,37000,962万,江汉/CBD西北湖,4,260
20201002,兴华尚都国际,27000,561万,江汉/CBD西北湖,3/4/5,103-247
20201002,华发中城荟二期中央首府,32650,457万,江汉/CBD西北湖,3/4,95-168
20201002,碧桂园泰富城,15800,55万,沌口开发区/沌口,2,35-57
20201002,鑫聚温莎半岛,26000,1000万,蔡甸/后官湖,4/7/1,385-552
20201002,碧桂园泰富城,22000,160万,沌口开发区/沌口,0,0-0
20201002,华星融城二期,15000,142万,东西湖/将军路,2/3/4,98-140
20201002,泛海国际芸海园,31000,500万,江汉/CBD西北湖,2/3/4/6,102-386
20201002,金色港湾双湖林语,15200,67万,沌口开发区/沌口,3/4/5,119-226
20201002,金地悦江时代,18500,210万,硚口/古田,3/4,114-142
20201002,绿地汉口中心,35000,126万,江岸/塔子湖,0,0-0
20201002,招商沃德公馆,15000,124万,硚口/古田,2/3,83-109
20201002,联泰滨江中心,13000,88万,青山/青山,3,55-68
20201002,御湖园,10500,110万,黄陂/黄陂其它,3,105-128
20201002,恒大科技旅游城,19000,323万,江夏/江夏其它,4/5/6,180-287
20201002,港湾江城二期,13800,166万,沌口开发区/沌口,3,99-130
20201002,卧龙东方郡,17500,300万,东西湖/金银湖,3/4,162-252
20201002,招商江湾国际,30000,0,硚口/古田,0,0-0
20201002,海伦国际,11800,114万,洪山/洪山其它,3,75-111
20201002,中南拂晓城,11464,112万,黄陂/黄陂其它,3/4,98-123
20201002,融创中心武汉壹号院,41200,600万,武昌/水果湖,4,215-245
20201002,融创观澜府,18000,219万,东西湖/吴家山,3/4,122-165
20201002,武汉雅居乐花园,13848,128万,江夏/庙山,3/4,92-143
20201002,都会轩,32000,1270万,江汉/前进江汉,6,397
20201002,当代万国城MOMΛ,15500,141万,汉阳/王家湾,3,91-119
20201002,汉北怡景园,11240,94万,黄陂/武湖,2/3,84-118
20201002,招商一江璟城,19240,260万,青山/青山,3/4,127-171
20201002,远洋汉口中心,15000,105万,江汉/长丰常码头,1/2/4,59-157
20201002,中南熙悦,15700,194万,东西湖/东西湖其它,3/4,125-143
20201002,绿地国博财富中心,25000,195万,汉阳/钟家村,0,0-0
20201002,立方时空,17000,70万,东西湖/吴家山,3,41-55
20201002,光谷未来城,20114,207万,东湖高新/光谷东,3/4,103-140
20201002,金科城,19240,200万,洪山/青山,3/4,115-144
20201002,山海观,13500,129万,黄陂/盘龙城,3/4,97-143
20201002,锦深汉南公馆,6500,87万,汉南/汉南其它,3,134-140
20201002,青年说,18000,60万,汉阳/王家湾,1/2/3/4,33-57
20201002,百步亭现代城,21000,117万,江岸/百步亭,1/2,56-62
20201002,南山十里星空,12500,137万,黄陂/盘龙城,3/4,110-129
20201002,越秀星悦湾畔,16000,79万,汉阳/钟家村,2/3,48-69
20201002,金地自在城,18000,38万,洪山/团结大道,1,20-245
20201002,城投瀚城璞岸,22500,250万,洪山/卓刀泉,3/4,108-230
20201002,新华尚水湾,24700,270万,硚口/古田,3/4,135-184
20201002,国瑞新港广场,6700,81万,新洲/阳逻,3,122-133
20201002,外滩柒号,45000,927万,江岸/三阳路,3,207-292
20201002,天纵御景湾,9800,91万,黄陂/黄陂其它,3/4,97-135
20201002,华中文谷知音盛棠,25000,475万,蔡甸/后官湖,3/6/7,190-1141
20201002,佳兆业滨江壹号,15000,62万,汉阳/王家湾,0,0-0
20201002,招商东城华府,17675,171万,东湖高新/光谷南,3/4/6,107-227
20201002,天祥尚府,24000,265万,东湖高新/三环南,0,0-0
20201002,光谷青年汇,50000,105万,东湖高新/金融港,0,0-0
20201002,花博汇漫漫城,8000,30万,蔡甸/蔡甸城区,2/3,45-90
20201002,现代天外天小镇,7100,104万,沌口开发区/沌口,5,202
20201002,新力城,14600,160万,洪山/白沙洲,3,114-130
20201002,中建福地星城,27000,300万,洪山/珞狮南路,3/4,112-156
20201002,新港长江府,36500,1263万,江汉/前进江汉,4,322-351
20201002,武汉雅居乐花园,34267,0,江夏/庙山,3/4,122-220
20201002,泛海国际兰海园,37000,962万,江汉/CBD西北湖,4,260-306
20201002,印江山,9000,102万,沌口开发区/沌口,3/4,103-131
20201002,保利爱尚里,23000,250万,武昌/团结大道,3,105-125
20201002,南湖半岛,27000,650万,洪山/卓刀泉,3/4/5,245-342
20201002,龙湖春江彼岸,23000,243万,汉阳/钟家村,3/4,110-173
20201002,百瑞景中央生活区五期东区,32500,260万,武昌/中南丁字桥,2,81-97
20201002,龙湖春江郦城,17300,200万,硚口/长丰常码头,3/4,121-143
20201002,滨江金茂府,25903,243万,汉阳/钟家村,2/3/4,96-143
20201002,正荣紫阙台,25000,275万,东湖高新/民族大道,3/4,110-142
20201002,地铁盛观尚城,15500,155万,汉阳/王家湾,3/4,100-160
20201002,金地悦海湾,15500,153万,东西湖/金银湖,3/4,95-140
20201002,朗诗西海岸,11000,153万,蔡甸/中法生态城,3,139-153
20201002,南益名士公馆,12500,152万,蔡甸/后官湖,3/4,122-142
20201002,旭辉华宇江悦府,14800,165万,洪山/白沙洲,3/4,112-139
20201002,德成红墅,16000,279万,黄陂/盘龙城,4/5,153-269
20201002,鼎鑫摩卡小镇,12710,141万,黄陂/盘龙城,3/4,124-171
20201002,金银湖1号院,18000,180万,东西湖/金银湖,2/3/4,90-133
20201002,泛海国际香海园,31500,872万,江汉/CBD西北湖,4/5,306-366
20201002,远洋心汉口3期,22365,243万,江汉/长丰常码头,3/4,109-143
20201002,恒韵府,19430,241万,汉阳/七里庙,2/3,102-192
20201002,融侨滨江城│星域,21000,154万,武昌/杨园,1/2/3,79-254
20201002,武汉融侨滨江城|天域|美域,27600,317万,武昌/杨园,3/4,111-181
20201002,大华公园华府,11000,93万,黄陂/盘龙城,3/4,85-134
20201002,金地悦江时代,25000,150万,硚口/古田,0,0-0
20201002,华发阳逻金茂逸墅,10000,93万,新洲/阳逻,3/4,96-136
20201002,佳兆业广场天御,25000,135万,武昌/武昌火车站,1,44-53
20201002,鹏湖湾,13200,0,江夏/文化大道,3/4/5,106-184
20201002,旭辉江山境,15497,193万,洪山/白沙洲,3/4,125-178
20201002,佳兆业悦府,13500,129万,东西湖/东西湖其它,3/4,96-133
20201002,五矿万境水岸,12500,123.7万,江夏/江夏其它,3/4,99-165
20201002,金地北辰阅风华,18600,200万,东西湖/常青花园,3,107-114
20201002,弘阳印月府,18500,237万,汉阳/四新,3/4,127-168
20201002,万科保利联投理想星光,13600,134.6万,江夏/江夏其它,3/4,90-120
20201002,远洋东方境世界观,25761,446万,汉阳/钟家村,2/3/4,99-302
20201002,中海万松九里,38000,874万,江汉/武广万松园,4,230
20201002,力高雍湖湾,25000,252万,蔡甸/后官湖,3,95-195
20201002,金川纯水岸,11600,97万,黄陂/盘龙城,3,84-90
20201002,中建铂公馆,17377,170万,洪山/白沙洲,3/4,102-156
20201002,绿地汉口中心,14000,238万,江岸/塔子湖,0,0-0
20201002,中城新时代,13500,116万,黄陂/盘龙城,3/4,86-132
20201002,平安御苑,20000,187.3万,东湖高新/三环南,3,93-113
20201002,洺悦华府,7300,75万,新洲/阳逻,3/4,84-139
20201002,天下南湖湾,23000,210万,洪山/珞狮南路,3,103-118
20201002,天下南湖湾,23800,85万,洪山/珞狮南路,2/3,36-76
20201002,世纪中心,25000,187万,江汉/前进江汉,0,0-0
20201002,外滩1861,40000,800万,江岸/前进江汉,0,0-0
20201002,绿地汉口中心S6号楼,14500,66万,江岸/塔子湖,1/3/4,46-48
20201002,江夏天地,8500,40万,江夏/文化大道,1,85
20201002,青青佳园,18158,254万,东西湖/将军路,3/4,122-145
20201002,天赐金龙城,11076,121万,东西湖/金银湖,3/4,110-174
20201002,保利和光晨樾,9655,90万,江夏/江夏其它,3,99-121
20201002,花样年·旭辉·碧云天,13700,145万,东西湖/金银湖,3/4,87-139
20201002,恒大科技旅游城,10200,102万,江夏/江夏其它,2/3,76-139
20201002,网安合寓,8805,34万,东西湖/金银湖,1/2/3,38-69
20201002,四新中央生活区,16500,74万,汉阳/四新,1/2/3,46-120
20201002,景瑞天赋滨江,15410,155万,洪山/白沙洲,3/4,102-141
20201002,嘉地珑墅,32000,544万,沌口开发区/沌口,5/6,170-202
20201002,东原阅境,15700,149万,东西湖/东西湖其它,3/4,95-125
20201002,建发金茂玺悦,12500,137.5万,江夏/江夏其它,3/4,97-138
20201002,建发金茂玺悦,32000,448万,江夏/江夏其它,0,0-0
20201002,龙湖春江郦城,16900,65万,硚口/长丰常码头,2/3,39-72
20201002,当代铭山筑,45000,500万,东湖高新/光谷东,5,97-127
20201002,阳逻万达广场御江,10326,112万,新洲/阳逻,3/4,90-129
20201002,阳逻万达广场御江,24600,344万,新洲/阳逻,3/4,140-170
20201002,阳逻万达广场御江,25000,100万,新洲/阳逻,0,0-0
20201002,葛洲坝龙湖江宸,20000,86万,江汉/CBD西北湖,2/3,43-86
20201002,城投瀚城璞岸,36000,850万,洪山/卓刀泉,4,236-237
20201002,龙湖春江郦城,26000,52万,硚口/长丰常码头,0,0-0
20201002,武地建发玺院,18300,190万,东湖高新/光谷东,3/4,104-144
20201002,万科新都会,28740,260万,洪山/老南湖,3/4,91-140
20201002,葛洲坝紫郡蘭园,11800,53万,沌口开发区/沌口,1/2/3/4,45-91
20201002,阳逻金茂悦,8818,72万,新洲/阳逻,3/4,89-136
20201002,德信江南大院,11000,102万,蔡甸/蔡甸城区,3/4,100-121
20201002,博译上坤云峯,价格待定,0,洪山/沙湖,3/4,189-221
20201002,保利军运村,15500,265万,江夏/江夏其它,3/4,98-171
20201002,帝大御璟城,12664,121万,黄陂/盘龙城,2/3/4,91-136
20201002,武汉诺德逸园,10227,99万,黄陂/黄陂其它,3/4,97-115
20201002,欧亚达云庭,9500,47万,江夏/文化大道,2,45-56
20201002,恒大科技旅游城,11000,56万,江夏/江夏其它,1/3,47-80
20201002,江樾云著,15000,128万,东西湖/吴家山,3/4,86-140
20201002,正商书香华府,11166,98万,蔡甸/蔡甸城区,3,88-130
20201002,首开光明国风上观,12800,122万,东西湖/东西湖其它,2/3,76-128
20201002,武地电建汤湖观筑,13800,152万,沌口开发区/沌口,3,112-136
20201002,电建地产洺悦江湾,18532,231万,汉阳/钟家村,3/4,120-140
20201002,金地悦江时代·悦PARK,11200,48万,硚口/古田,1,43
20201002,新城璞樾门第,18750,202万,东湖高新/光谷南,3/4,109-129
20201002,佳兆业广场天御,55000,82万,武昌/武昌火车站,0,0-0
20201002,南山十里星空,27500,68万,黄陂/盘龙城,0,0-0
20201002,红星天铂,21000,300万,新洲/阳逻,4/5,138-154
20201002,邻湖壹方,18000,100万,洪山/青山,1/2/3,44-53
20201002,武地融创锦上公馆,9200,93.8万,江夏/江夏其它,3,102-143
20201002,塔尖观邸,14500,116万,江岸/后湖,3,80-160
20201002,江悦蘭园,12700,125万,东西湖/东西湖其它,3/4,97-134
20201002,东原朗阅,9800,93万,新洲/阳逻,3/4,95-125
20201002,前川中梁首府,10052,95万,黄陂/前川,3/4,93-130
20201002,大华锦绣时代,23000,264万,青山/青山,2/3/4,97-154
20201002,招商江山和樾,18615,218万,汉阳/钟家村,3/4,120-139
20201002,绿城金地凤起听澜,26000,335万,汉阳/钟家村,3/4,129-184
20201002,景瑞天赋半岛,30000,430万,蔡甸/后官湖,2/4/5/6,89-189
20201002,恒大时代新城,8800,64万,汉南/汉南其它,2/3/4,73-208
20201002,远洋归元max,18000,54万,汉阳/钟家村/鹦鹉大道与翠微路交界处（地铁4,1,30-40
20201002,万可后海,12000,44万,黄陂/汉口北,2/3,42-73
20201002,武地电建君樾府,9500,107万,沌口开发区/沌口,3,113-127
20201002,北辰金地漾时代,12000,116万,东西湖/东西湖其它,3/4,97-128
20201002,北辰经开优+,9100,80万,沌口开发区/沌口,3,88-113
20201002,世界城创世界,11800,68万,东湖高新/光谷东,1,41-110
20201002,旭辉千山凌云,25840,371万,东湖高新/关山大道,3/4,118-178
20201002,经发龙湖雲峰原著,12986,124万,江夏/江夏其它,3,97-120
20201002,鹏湖湾十二墅,35000,480万,江夏/文化大道,4,160-165
20201002,星光耀绿城尊蓝,8500,46.2万,江夏/文化大道,1,42-53
20201002,联泰香域水岸,33000,160万,青山/青山,0,0-0
20201002,武汉英赫当代城MOMΛ,9780,91万,东西湖/东西湖其它,3/4,95-127
20201002,万科保利理想城市,13000,120万,洪山/白沙洲,3/4,95-126
20201002,融创武汉1890,20600,239万,汉阳/七里庙,3/4,116-143
20201002,当代云谷未来π,11000,27.5万,东湖高新/光谷南,1/2,25-52
20201002,保利星宸,16000,152万,汉阳/王家湾,3,95-125
20201002,中海尚璟,9850,92万,蔡甸/蔡甸城区,3/4,99-132
20201002,百步亭百街茂,21000,120万,江岸/百步亭,0,0-0
20201002,保利星耀,13520,153万,汉阳/王家湾,3/4,113-138
20201002,融创一江源,32000,368万,硚口/宗关,3/4,115-143
20201002,城投大桥龙城,10449,102万,黄陂/盘龙城,3,98-123
20201002,旭辉都会山,15600,150万,洪山/白沙洲,3,98-118
20201002,美的君兰半岛,16000,175万,江夏/江夏其它,3/4,102-135
20201002,龙湖紫都城,11000,54万,江夏/文化大道,1/2/3,48-75
20201002,五矿万境水岸,33000,574万,江夏/江夏其它,4/5,174-214
20201002,光和创谷,35000,60万,东湖高新/光谷东,0,0-0
20201002,海林康桥官邸,7500,72万,新洲/新洲其它,3/4,97-143
20201002,龙城汇萃园,22000,140万,黄陂/盘龙城,0,0-0
20201002,海伦堡汉江府,14000,135万,东西湖/东西湖其它,2/3,98-150
20201002,新城璞樾门第,30000,369.9万,东湖高新/光谷南,2/4/5,137-223
20201002,纽宾凯麓院,15700,171万,东湖高新/光谷东,3/4,96-186
20201002,花样年花好园,20640,180万,江岸/百步亭/建设大道兴业路地铁站K出口,2/3/4,87-145
20201002,格林中心,11600,67万,汉阳/四新,2/4,46-120
20201002,武汉碧云天,33000,92万,东西湖/金银湖,0,0-0
20201002,中国铁建梧桐苑阅立方,12000,96万,东湖高新/三环南,4/6,79-97
20201002,国创光谷上城尚寓,16500,61.05万,东湖高新/光谷东,1/2,37-57
20201002,经发龙湖雲峰原著,18533,263万,江夏/江夏其它,3/4,142-152
20201002,塔尖观邸,38000,121万,江岸/后湖,0,0-0
20201002,力高雍华年,40000,470万,东湖高新/光谷东,2/6,48-143
20201002,龙湖春江彼岸,47500,158万,汉阳/钟家村,0,0-0
20201002,金色港湾君临水岸,9100,96万,沌口开发区/沌口,3,104-137
20201002,武汉当代境MOMΛ,13000,120万,东西湖/东西湖其它,3,92-118
20201002,中梁天玺壹号,12500,122万,东西湖/东西湖其它,3,98-118
20201002,美的雅居乐云筑,17500,157万,东湖高新/光谷南,3,89-115
20201002,华润置地公园里,8500,75万,蔡甸/蔡甸其它,3,88-103
20201002,碧桂园云玺,11000,75万,东湖高新/光谷东,1,69-148
20201002,武地融创御央首府,21900,245万,江岸/百步亭,3/4,106-140
20201002,愉景湾,21000,63万,黄陂/武湖,2/3,32-68
20201002,万科城市之光,17800,0,洪山/白沙洲,3/4,110-142
20201002,武汉金恒福城市广场,16000,40万,黄陂/黄陂其它,0,0-0
20201002,武汉金恒福城市广场,7500,38万,黄陂/黄陂其它,1/2,52-104
20201002,金地悦海湾,22000,207万,东西湖/金银湖,0,0-0
20201002,宝业德信宸光里,价格待定,0,江夏/庙山,3/4,90-128
20201002,金茂华发武汉国际社区,13500,133万,江夏/江夏其它,3,99-129
20201002,中国铁建御湖,价格待定,0,汉阳/四新,3,105-129
20201002,中海光谷东麓,14960,108万,东湖高新/洪山其它,0,0-0
20201002,佳兆业浣溪璞园,价格待定,0,新洲/阳逻,0,0-0
20201002,中粮光谷祥云,45000,200万,东湖高新/光谷东,0,0-0
20201002,汉CITY环山道,12000,38万,汉阳/四新,1,33-51
20201002,东原印未来,12500,122万,东西湖/东西湖其它,3/4,97-127
20201002,蓝天湖岸,23500,420万,汉阳/七里庙,4,173-179
20201002,天池雅园,6500,30万,黄陂/前川,1/2,47-69
20201002,海伦国际,23000,70万,洪山/洪山其它,0,0-0
20201002,景瑞清能江南悦,9300,88万,蔡甸/蔡甸城区,3,95-108
20201002,佳兆业悦府,26800,128万,东西湖/东西湖其它,0,0-0
20201002,融创首创 | 国际智慧生态城市一江赋,8500,80万,沌口开发区/沌口,3,94-137
20201002,招商公园1872,30000,70万,汉阳/四新,0,0-0
20201002,华中国际广场,20000,45万,江岸/育才花桥,0,0-0
20201002,印江山二期,价格待定,0,沌口开发区/沌口,0,0-0
20201002,招商一江璟城,28000,0,青山/青山,0,0-0
20201002,光谷未来城,28285,352.8万,东湖高新/光谷东,3,126-159
20201002,揽胜公园,22000,515万,洪山/珞狮南路,4/5,163-250
20201002,美联奥林匹克花园五期,17175,187万,东西湖/常青花园,3/4,109-140
20201002,保利星河九洲,15500,151万,汉阳/王家湾,3/4,111-139
20201002,金辉优步湖畔,11000,107万,黄陂/黄陂其它,3/4,98-125
20201002,现代天外天小镇,15500,209万,沌口开发区/沌口,4/5/6,135-200
20201002,中建光谷之星,13500,52万,东湖高新/光谷东,1/2/3,38-135
20201002,绿地国博财富中心,14000,43万,汉阳/钟家村,1/2/3,33-90
20201002,中建锦绣双城,10389,112万,蔡甸/蔡甸城区,3/4,107-160
20201002,云尚武汉国际时尚中心,25000,125万,硚口/汉正街,1/2/3/4,50-168
20201002,楚天都市沁园,价格待定,0,洪山/江夏其它,0,0-0
20201002,临空香廷,11240,129万,黄陂/盘龙城,3/4/5,99-167
20201002,合一星光天地,13500,75万,东西湖/吴家山,1/2/3,54-121
20201002,北辰孔雀城航天府,6540,58万,新洲/新洲其它,3/4,90-130
20201002,京汉城市广场,70000,44万,江岸/大智路,0,0-0
20201002,卓尔生活城二期湖湾,价格待定,0,黄陂/汉口北,2/3,87-131
20201002,银泰御华园三期,21000,205万,江岸/百步亭,3,98-125
20201002,绿地城,8800,104万,汉南/汉南其它,2/3/4,97-135
20201002,千禧城,21018,239万,硚口/古田,3/4,114-148
20201002,光谷永利汇,17500,72万,洪山/卓刀泉,1,45-58
20201002,泰顺和商业中心,6500,40万,东西湖/东西湖其它,1/2,47-74
20201002,上坤绿城,6552,60万,新洲/新洲其它,3,96-129
20201002,汉北玺园,价格待定,0,黄陂/武湖,0,0-0
20201002,联投汉口郡,8800,124万,黄陂/武湖,3,141-160
20201002,恒达盘龙湾梅苑,10433,109万,黄陂/盘龙城,3/4,104-136
20201002,佳阳翠湖里,8500,35万,新洲/阳逻,1/3,41-120
20201002,时代新世界,26500,153万,硚口/宗关,1,58
20201002,中国核建锦城,9040,108万,蔡甸/蔡甸城区,3,100-180
20201002,银泰御华园二期,35500,940万,江岸/百步亭,4,273-334
20201002,美好名流汇,17500,166万,硚口/古田,3/4,95-153
20201002,兰江公园里,11611,102万,黄陂/盘龙城,2/3,87-132
20201002,光谷悦城,价格待定,0,东湖高新/光谷东,0,0-0
20201002,钰龙旭辉半岛,19100,223万,汉阳/七里庙,3,117-132
20201002,中建大公馆,价格待定,0,东湖高新/民族大道,0,0-0
20201002,泰合四千院,40000,0,黄陂/前川,8,1119
20201002,保利香颂,17642,222万,汉阳/王家湾,3/4,108-135
20201002,新亚花园,5500,31万,新洲/阳逻,2,100-103
20201002,诺展星座,20000,200万,武昌/团结大道,3/4,85-117
20201002,木兰樾境,价格待定,0,黄陂/前川,0,0-0
20201002,大华滨江天地三期铂金瑞府,22500,260万,青山/青山,3/4,100-169
20201002,青年公社,价格待定,0,江夏/庙山,2/3,50-65
20201002,板桥逸景,11000,0,黄陂/前川,3,87-116
20201002,海伦小镇,15000,207万,沌口开发区/沌口,4/5/6,138-175
20201002,尚璟瑞府,12600,127万,黄陂/盘龙城,3/4,107-163
20201002,空港中心,10000,0,黄陂/盘龙城,0,0-0
20201002,恒大御景湾,9000,59万,汉阳/钟家村,1,65
20201002,星悦城公园里,35000,63万,江岸/塔子湖,0,0-0
20201002,保和墨水湾,价格待定,0,汉阳/钟家村,3/4,88-126
20201002,合融清华源,9500,95万,黄陂/前川,3,100-119
20201002,奥山光谷世纪城,14000,159万,东湖高新/光谷东,2/5,77-221
20201002,前川欣城,价格待定,0,黄陂/前川,0,0-0
20201002,保利城SOHO中心,11000,62万,武昌/团结大道,1,44-61
20201002,幸福湾二期,价格待定,0,江岸/堤角,0,0-0
20201002,立城中心,15000,0,江岸/塔子湖,0,0-0
20201002,碧桂园生态城浅月湾52墅,23000,421万,东湖高新/光谷东,5,223-286
20201002,长投绿城蘭园,12154,111万,江夏/藏龙岛,2/3/4,79-136
20201002,二七星城,16800,100万,江岸/百步亭,1/2/3,60-150
20201002,清能清江锦城三期,价格待定,0,洪山/白沙洲,0,0-0
20201002,汉口派,19800,148万,江岸/百步亭,2/3,68-89
20201002,越秀星汇君泊越天地,33500,0,江岸/塔子湖,0,0-0
20201002,金岛金桥壹号,37000,0,江岸/后湖,0,0-0
20201002,新纪元艺墅庄园,价格待定,0,黄陂/武湖,5,210-249
20201002,庭瑞U-ME,16500,0,沌口开发区/沌口,3/5,72-78
20201002,武汉客厅,15500,0,东西湖/将军路,0,0-0
20201002,龙庭华府,价格待定,0,蔡甸/蔡甸城区,3,125
20201002,金地天悦,38000,190万,东湖高新/关西长职,0,0-0
20201002,联投广场,8500,0,江夏/文化大道,0,0-0
20201002,加州橘郡,13183,157万,江夏/庙山,3/4/5,115-141
20201002,卧龙墨水湖边,29000,720万,汉阳/四新,5,252
20201002,加州橘郡,价格待定,0,江夏/庙山,0,0-0
20201002,保利新武昌,14000,133万,洪山/白沙洲,3,131
20201002,中建汤逊湖壹号,38000,500万,江夏/文化大道,3/4/5,189-349
20201002,天纵半岛蓝湾,23000,60万,东西湖/将军路,0,0-0
20201002,钰龙旭辉半岛,30000,237万,汉阳/七里庙,3,133-136
20201002,新长江CBD中心,20000,0,江汉/CBD西北湖,0,0-0
20201002,天纵城,20000,0,黄陂/盘龙城,0,0-0
20201002,东方城三期,9650,83万,黄陂/武湖,2/3,87-107
20201002,顶琇国际城,14000,66万,江汉/唐家墩,1/3,43-67
20201002,金岛金桥壹号,37000,0,江岸/后湖,0,0-0
