,楼盘,单价,行政区,最小面积,最大面积,最小户型,最大户型
0,首开&华侨城&金茂|东湖金茂府,26500.0,洪山,118,141,3,4
1,长江凯旋城,11300.0,黄陂,108,124,3,3
2,美好长江首玺,13500.0,洪山,97,123,3,3
3,海伦堡汉江府,8200.0,东西湖,96,130,3,4
4,兰亭大境,16250.0,沌口开发区,105,143,3,4
5,越秀汉阳星汇云锦,25000.0,汉阳,125,142,3,3
6,新力金沙湾,9500.0,新洲,108,118,3,3
7,电建地产洺悦御府,13200.0,东西湖,97,143,3,4
8,碧桂园海昌克拉公馆,14000.0,东西湖,47,82,1,3
9,观湖园二期,15500.0,蔡甸,117,142,4,4
10,光谷崇文中心,13000.0,东湖高新,50,101,1,3
11,万博玖珑湾,11000.0,黄陂,121,130,3,3
12,F天下,30000.0,黄陂,245,344,4,5
13,泛海国际兰海园三期碧海园,37000.0,江汉,260,260,4,4
14,兴华尚都国际,27000.0,江汉,103,247,3,5
15,华发中城荟二期中央首府,32650.0,江汉,95,168,3,4
16,碧桂园泰富城,15800.0,沌口开发区,35,57,2,2
17,鑫聚温莎半岛,26000.0,蔡甸,385,552,4,1
19,华星融城二期,15000.0,东西湖,98,140,2,4
20,泛海国际芸海园,31000.0,江汉,102,386,2,6
21,金色港湾双湖林语,15200.0,沌口开发区,119,226,3,5
22,金地悦江时代,18500.0,硚口,114,142,3,4
24,招商沃德公馆,15000.0,硚口,83,109,2,3
25,联泰滨江中心,13000.0,青山,55,68,3,3
26,御湖园,10500.0,黄陂,105,128,3,3
27,恒大科技旅游城,19000.0,江夏,180,287,4,6
28,港湾江城二期,13800.0,沌口开发区,99,130,3,3
29,卧龙东方郡,17500.0,东西湖,162,252,3,4
31,海伦国际,11800.0,洪山,75,111,3,3
32,中南拂晓城,11464.0,黄陂,98,123,3,4
33,融创中心武汉壹号院,41200.0,武昌,215,245,4,4
34,融创观澜府,18000.0,东西湖,122,165,3,4
35,武汉雅居乐花园,13848.0,江夏,92,143,3,4
36,都会轩,32000.0,江汉,397,397,6,6
37,当代万国城MOMΛ,15500.0,汉阳,91,119,3,3
38,汉北怡景园,11240.0,黄陂,84,118,2,3
39,招商一江璟城,19240.0,青山,127,171,3,4
40,远洋汉口中心,15000.0,江汉,59,157,1,4
41,中南熙悦,15700.0,东西湖,125,143,3,4
43,立方时空,17000.0,东西湖,41,55,3,3
44,光谷未来城,20114.0,东湖高新,103,140,3,4
45,金科城,19240.0,洪山,115,144,3,4
46,山海观,13500.0,黄陂,97,143,3,4
47,锦深汉南公馆,6500.0,汉南,134,140,3,3
48,青年说,18000.0,汉阳,33,57,1,4
49,百步亭现代城,21000.0,江岸,56,62,1,2
50,南山十里星空,12500.0,黄陂,110,129,3,4
51,越秀星悦湾畔,16000.0,汉阳,48,69,2,3
52,金地自在城,18000.0,洪山,20,245,1,1
53,城投瀚城璞岸,22500.0,洪山,108,230,3,4
54,新华尚水湾,24700.0,硚口,135,184,3,4
55,国瑞新港广场,6700.0,新洲,122,133,3,3
56,外滩柒号,45000.0,江岸,207,292,3,3
57,天纵御景湾,9800.0,黄陂,97,135,3,4
58,华中文谷知音盛棠,25000.0,蔡甸,190,1141,3,7
60,招商东城华府,17675.0,东湖高新,107,227,3,6
63,花博汇漫漫城,8000.0,蔡甸,45,90,2,3
64,现代天外天小镇,7100.0,沌口开发区,202,202,5,5
65,新力城,14600.0,洪山,114,130,3,3
66,中建福地星城,27000.0,洪山,112,156,3,4
67,新港长江府,36500.0,江汉,322,351,4,4
68,武汉雅居乐花园,34267.0,江夏,122,220,3,4
69,泛海国际兰海园,37000.0,江汉,260,306,4,4
70,印江山,9000.0,沌口开发区,103,131,3,4
71,保利爱尚里,23000.0,武昌,105,125,3,3
72,南湖半岛,27000.0,洪山,245,342,3,5
73,龙湖春江彼岸,23000.0,汉阳,110,173,3,4
74,百瑞景中央生活区五期东区,32500.0,武昌,81,97,2,2
75,龙湖春江郦城,17300.0,硚口,121,143,3,4
76,滨江金茂府,25903.0,汉阳,96,143,2,4
77,正荣紫阙台,25000.0,东湖高新,110,142,3,4
78,地铁盛观尚城,15500.0,汉阳,100,160,3,4
79,金地悦海湾,15500.0,东西湖,95,140,3,4
80,朗诗西海岸,11000.0,蔡甸,139,153,3,3
81,南益名士公馆,12500.0,蔡甸,122,142,3,4
82,旭辉华宇江悦府,14800.0,洪山,112,139,3,4
83,德成红墅,16000.0,黄陂,153,269,4,5
84,鼎鑫摩卡小镇,12710.0,黄陂,124,171,3,4
85,金银湖1号院,18000.0,东西湖,90,133,2,4
86,泛海国际香海园,31500.0,江汉,306,366,4,5
87,远洋心汉口3期,22365.0,江汉,109,143,3,4
88,恒韵府,19430.0,汉阳,102,192,2,3
89,融侨滨江城│星域,21000.0,武昌,79,254,1,3
90,武汉融侨滨江城|天域|美域,27600.0,武昌,111,181,3,4
91,大华公园华府,11000.0,黄陂,85,134,3,4
93,华发阳逻金茂逸墅,10000.0,新洲,96,136,3,4
94,佳兆业广场天御,25000.0,武昌,44,53,1,1
95,鹏湖湾,13200.0,江夏,106,184,3,5
96,旭辉江山境,15497.0,洪山,125,178,3,4
97,佳兆业悦府,13500.0,东西湖,96,133,3,4
98,五矿万境水岸,12500.0,江夏,99,165,3,4
99,金地北辰阅风华,18600.0,东西湖,107,114,3,3
100,弘阳印月府,18500.0,汉阳,127,168,3,4
101,万科保利联投理想星光,13600.0,江夏,90,120,3,4
102,远洋东方境世界观,25761.0,汉阳,99,302,2,4
103,中海万松九里,38000.0,江汉,230,230,4,4
104,力高雍湖湾,25000.0,蔡甸,95,195,3,3
105,金川纯水岸,11600.0,黄陂,84,90,3,3
106,中建铂公馆,17377.0,洪山,102,156,3,4
108,中城新时代,13500.0,黄陂,86,132,3,4
109,平安御苑,20000.0,东湖高新,93,113,3,3
110,洺悦华府,7300.0,新洲,84,139,3,4
111,天下南湖湾,23000.0,洪山,103,118,3,3
112,天下南湖湾,23800.0,洪山,36,76,2,3
115,绿地汉口中心S6号楼,14500.0,江岸,46,48,1,4
116,江夏天地,8500.0,江夏,85,85,1,1
117,青青佳园,18158.0,东西湖,122,145,3,4
118,天赐金龙城,11076.0,东西湖,110,174,3,4
119,保利和光晨樾,9655.0,江夏,99,121,3,3
120,花样年·旭辉·碧云天,13700.0,东西湖,87,139,3,4
121,恒大科技旅游城,10200.0,江夏,76,139,2,3
122,网安合寓,8805.0,东西湖,38,69,1,3
123,四新中央生活区,16500.0,汉阳,46,120,1,3
124,景瑞天赋滨江,15410.0,洪山,102,141,3,4
125,嘉地珑墅,32000.0,沌口开发区,170,202,5,6
126,东原阅境,15700.0,东西湖,95,125,3,4
127,建发金茂玺悦,12500.0,江夏,97,138,3,4
129,龙湖春江郦城,16900.0,硚口,39,72,2,3
130,当代铭山筑,45000.0,东湖高新,97,127,5,5
131,阳逻万达广场御江,10326.0,新洲,90,129,3,4
132,阳逻万达广场御江,24600.0,新洲,140,170,3,4
134,葛洲坝龙湖江宸,20000.0,江汉,43,86,2,3
135,城投瀚城璞岸,36000.0,洪山,236,237,4,4
137,武地建发玺院,18300.0,东湖高新,104,144,3,4
138,万科新都会,28740.0,洪山,91,140,3,4
139,葛洲坝紫郡蘭园,11800.0,沌口开发区,45,91,1,4
140,阳逻金茂悦,8818.0,新洲,89,136,3,4
141,德信江南大院,11000.0,蔡甸,100,121,3,4
142,博译上坤云峯,11000.0,洪山,189,221,3,4
143,保利军运村,15500.0,江夏,98,171,3,4
144,帝大御璟城,12664.0,黄陂,91,136,2,4
145,武汉诺德逸园,10227.0,黄陂,97,115,3,4
146,欧亚达云庭,9500.0,江夏,45,56,2,2
147,恒大科技旅游城,11000.0,江夏,47,80,1,3
148,江樾云著,15000.0,东西湖,86,140,3,4
149,正商书香华府,11166.0,蔡甸,88,130,3,3
150,首开光明国风上观,12800.0,东西湖,76,128,2,3
151,武地电建汤湖观筑,13800.0,沌口开发区,112,136,3,3
152,电建地产洺悦江湾,18532.0,汉阳,120,140,3,4
153,金地悦江时代·悦PARK,11200.0,硚口,43,43,1,1
154,新城璞樾门第,18750.0,东湖高新,109,129,3,4
157,红星天铂,21000.0,新洲,138,154,4,5
158,邻湖壹方,18000.0,洪山,44,53,1,3
159,武地融创锦上公馆,9200.0,江夏,102,143,3,3
160,塔尖观邸,14500.0,江岸,80,160,3,3
161,江悦蘭园,12700.0,东西湖,97,134,3,4
162,东原朗阅,9800.0,新洲,95,125,3,4
163,前川中梁首府,10052.0,黄陂,93,130,3,4
164,大华锦绣时代,23000.0,青山,97,154,2,4
165,招商江山和樾,18615.0,汉阳,120,139,3,4
166,绿城金地凤起听澜,26000.0,汉阳,129,184,3,4
167,景瑞天赋半岛,30000.0,蔡甸,89,189,2,6
168,恒大时代新城,8800.0,汉南,73,208,2,4
169,远洋归元max,18000.0,汉阳,30,40,1,1
170,万可后海,12000.0,黄陂,42,73,2,3
171,武地电建君樾府,9500.0,沌口开发区,113,127,3,3
172,北辰金地漾时代,12000.0,东西湖,97,128,3,4
173,北辰经开优+,9100.0,沌口开发区,88,113,3,3
174,世界城创世界,11800.0,东湖高新,41,110,1,1
175,旭辉千山凌云,25840.0,东湖高新,118,178,3,4
176,经发龙湖雲峰原著,12986.0,江夏,97,120,3,3
177,鹏湖湾十二墅,35000.0,江夏,160,165,4,4
178,星光耀绿城尊蓝,8500.0,江夏,42,53,1,1
180,武汉英赫当代城MOMΛ,9780.0,东西湖,95,127,3,4
181,万科保利理想城市,13000.0,洪山,95,126,3,4
182,融创武汉1890,20600.0,汉阳,116,143,3,4
183,当代云谷未来π,11000.0,东湖高新,25,52,1,2
184,保利星宸,16000.0,汉阳,95,125,3,3
185,中海尚璟,9850.0,蔡甸,99,132,3,4
187,保利星耀,13520.0,汉阳,113,138,3,4
188,融创一江源,32000.0,硚口,115,143,3,4
189,城投大桥龙城,10449.0,黄陂,98,123,3,3
190,旭辉都会山,15600.0,洪山,98,118,3,3
191,美的君兰半岛,16000.0,江夏,102,135,3,4
192,龙湖紫都城,11000.0,江夏,48,75,1,3
193,五矿万境水岸,33000.0,江夏,174,214,4,5
195,海林康桥官邸,7500.0,新洲,97,143,3,4
197,海伦堡汉江府,14000.0,东西湖,98,150,2,3
198,新城璞樾门第,30000.0,东湖高新,137,223,2,5
199,纽宾凯麓院,15700.0,东湖高新,96,186,3,4
200,花样年花好园,20640.0,江岸,87,145,2,4
201,格林中心,11600.0,汉阳,46,120,2,4
203,中国铁建梧桐苑阅立方,12000.0,东湖高新,79,97,4,6
204,国创光谷上城尚寓,16500.0,东湖高新,37,57,1,2
205,经发龙湖雲峰原著,18533.0,江夏,142,152,3,4
207,力高雍华年,40000.0,东湖高新,48,143,2,6
209,金色港湾君临水岸,9100.0,沌口开发区,104,137,3,3
210,武汉当代境MOMΛ,13000.0,东西湖,92,118,3,3
211,中梁天玺壹号,12500.0,东西湖,98,118,3,3
212,美的雅居乐云筑,17500.0,东湖高新,89,115,3,3
213,华润置地公园里,8500.0,蔡甸,88,103,3,3
214,碧桂园云玺,11000.0,东湖高新,69,148,1,1
215,武地融创御央首府,21900.0,江岸,106,140,3,4
216,愉景湾,21000.0,黄陂,32,68,2,3
217,万科城市之光,17800.0,洪山,110,142,3,4
219,武汉金恒福城市广场,7500.0,黄陂,52,104,1,2
221,宝业德信宸光里,22000.0,江夏,90,128,3,4
222,金茂华发武汉国际社区,13500.0,江夏,99,129,3,3
223,中国铁建御湖,13500.0,汉阳,105,129,3,3
227,汉CITY环山道,12000.0,汉阳,33,51,1,1
228,东原印未来,12500.0,东西湖,97,127,3,4
229,蓝天湖岸,23500.0,汉阳,173,179,4,4
230,天池雅园,6500.0,黄陂,47,69,1,2
232,景瑞清能江南悦,9300.0,蔡甸,95,108,3,3
234,融创首创 | 国际智慧生态城市一江赋,8500.0,沌口开发区,94,137,3,3
239,光谷未来城,28285.0,东湖高新,126,159,3,3
240,揽胜公园,22000.0,洪山,163,250,4,5
241,美联奥林匹克花园五期,17175.0,东西湖,109,140,3,4
242,保利星河九洲,15500.0,汉阳,111,139,3,4
243,金辉优步湖畔,11000.0,黄陂,98,125,3,4
244,现代天外天小镇,15500.0,沌口开发区,135,200,4,6
245,中建光谷之星,13500.0,东湖高新,38,135,1,3
246,绿地国博财富中心,14000.0,汉阳,33,90,1,3
247,中建锦绣双城,10389.0,蔡甸,107,160,3,4
248,云尚武汉国际时尚中心,25000.0,硚口,50,168,1,4
250,临空香廷,11240.0,黄陂,99,167,3,5
251,合一星光天地,13500.0,东西湖,54,121,1,3
252,北辰孔雀城航天府,6540.0,新洲,90,130,3,4
254,卓尔生活城二期湖湾,70000.0,黄陂,87,131,2,3
255,银泰御华园三期,21000.0,江岸,98,125,3,3
256,绿地城,8800.0,汉南,97,135,2,4
257,千禧城,21018.0,硚口,114,148,3,4
258,光谷永利汇,17500.0,洪山,45,58,1,1
259,泰顺和商业中心,6500.0,东西湖,47,74,1,2
260,上坤绿城,6552.0,新洲,96,129,3,3
262,联投汉口郡,8800.0,黄陂,141,160,3,3
263,恒达盘龙湾梅苑,10433.0,黄陂,104,136,3,4
264,佳阳翠湖里,8500.0,新洲,41,120,1,3
265,时代新世界,26500.0,硚口,58,58,1,1
266,中国核建锦城,9040.0,蔡甸,100,180,3,3
267,银泰御华园二期,35500.0,江岸,273,334,4,4
268,美好名流汇,17500.0,硚口,95,153,3,4
269,兰江公园里,11611.0,黄陂,87,132,2,3
271,钰龙旭辉半岛,19100.0,汉阳,117,132,3,3
273,泰合四千院,40000.0,黄陂,1119,1119,8,8
274,保利香颂,17642.0,汉阳,108,135,3,4
275,新亚花园,5500.0,新洲,100,103,2,2
276,诺展星座,20000.0,武昌,85,117,3,4
278,大华滨江天地三期铂金瑞府,22500.0,青山,100,169,3,4
279,青年公社,22500.0,江夏,50,65,2,3
280,板桥逸景,11000.0,黄陂,87,116,3,3
281,海伦小镇,15000.0,沌口开发区,138,175,4,6
282,尚璟瑞府,12600.0,黄陂,107,163,3,4
284,恒大御景湾,9000.0,汉阳,65,65,1,1
286,保和墨水湾,35000.0,汉阳,88,126,3,4
287,合融清华源,9500.0,黄陂,100,119,3,3
288,奥山光谷世纪城,14000.0,东湖高新,77,221,2,5
290,保利城SOHO中心,11000.0,武昌,44,61,1,1
293,碧桂园生态城浅月湾52墅,23000.0,东湖高新,223,286,5,5
294,长投绿城蘭园,12154.0,江夏,79,136,2,4
295,二七星城,16800.0,江岸,60,150,1,3
297,汉口派,19800.0,江岸,68,89,2,3
300,新纪元艺墅庄园,37000.0,黄陂,210,249,5,5
301,庭瑞U-ME,16500.0,沌口开发区,72,78,3,5
303,龙庭华府,15500.0,蔡甸,125,125,3,3
306,加州橘郡,13183.0,江夏,115,141,3,5
307,卧龙墨水湖边,29000.0,汉阳,252,252,5,5
309,保利新武昌,14000.0,洪山,131,131,3,3
310,中建汤逊湖壹号,38000.0,江夏,189,349,3,5
312,钰龙旭辉半岛,30000.0,汉阳,133,136,3,3
315,东方城三期,9650.0,黄陂,87,107,2,3
316,顶琇国际城,14000.0,江汉,43,67,1,3
318,保合太和,12900.0,黄陂,97,97,3,3
319,佳兆业滨江壹号,10000.0,汉阳,180,180,3,3
320,德雅国际城,7300.0,新洲,112,279,3,5
321,振泰汪集豪庭,5500.0,新洲,99,133,2,3
323,复地东湖国际八期,38000.0,武昌,142,225,3,4
326,佳柏现代城,12000.0,东西湖,45,70,1,1
328,琨瑜府,23730.0,东湖高新,120,190,4,4
329,汤逊湖山庄,14800.0,江夏,110,140,4,4
331,金珠港湾二期,13500.0,东西湖,117,138,2,4
332,滨湖壹号别墅,13500.0,东湖高新,465,637,5,7
348,汉口御江澜庭,11000.0,黄陂,83,113,2,3
349,文一云水湾,10800.0,东西湖,118,140,3,4
351,滨江学府,6500.0,新洲,40,142,1,3
357,知音半岛,23000.0,蔡甸,241,271,5,6
360,金色港湾MIMI空间,15000.0,沌口开发区,23,23,1,1
361,中锐滨湖尚城,13500.0,江夏,98,142,3,4
362,新阳广场,15000.0,汉阳,37,75,2,4
363,人民武汉国际汽车城,6200.0,蔡甸,48,82,1,2
376,泊樾府,14800.0,江夏,95,161,3,3
377,中冶39大街,24500.0,青山,120,169,3,4
380,金珠港湾,13500.0,东西湖,117,194,2,3
382,恒大城,8000.0,东西湖,52,52,1,1
384,联投中心,34800.0,武昌,211,211,4,4
386,城投四新之光,16500.0,汉阳,143,233,4,4
387,三和名仕城,9500.0,蔡甸,83,120,2,3
388,新城阅璟台,14000.0,洪山,113,138,3,3
389,金珠港湾,22000.0,东西湖,220,298,5,5
391,实地君兰汀岸,17500.0,沌口开发区,135,135,3,3
393,海珀滨江,32800.0,武昌,136,270,2,4
394,万丰丰泽园,11660.0,东西湖,113,113,3,3
396,西寺学府,6500.0,黄陂,45,45,2,2
399,绿地铂瑞公馆,26000.0,武昌,60,237,1,2
401,光谷澎湃城奥山府,16800.0,东湖高新,118,118,3,3
404,越秀星悦峯,32000.0,武昌,54,82,2,4
406,四新天祥广场,12500.0,汉阳,28,44,1,1
407,汉口左岸天地二期,9800.0,黄陂,91,132,3,3
408,北辰蔚蓝城市,11464.0,黄陂,107,139,3,4
409,碧桂园生态城东境,15000.0,东湖高新,109,143,3,4
412,江南新天地,12000.0,江夏,183,183,4,4
413,保和墨水湾,35000.0,汉阳,190,198,4,5
414,万达御湖壹号,38000.0,洪山,180,200,3,3
415,翰林公馆,10500.0,黄陂,96,139,3,4
416,万盈国际,10500.0,武昌,80,113,1,2
421,御江壹品青山樽,22600.0,青山,101,137,3,3
423,庭瑞新汉口,15500.0,东西湖,45,58,1,2
424,西北湖壹号御玺湾,33000.0,江汉,199,318,4,5
425,华星龙腾国际,5900.0,新洲,109,129,3,3
430,白金壳子,16000.0,东西湖,45,70,1,2
431,绿城武汉黄浦湾,48175.0,江岸,99,220,3,3
432,武汉院子,26000.0,蔡甸,88,182,4,5
433,星悦湾,7100.0,汉南,101,119,3,3
